,Date,Adj Close,Close,High,Low,Open,Volume,DateOrdinal
1392,2000-01-01,46.43991852,46.46099854,46.49599838,45.26200104,46.28900146,510488000,730120
1393,2000-01-01,47.47244644,47.49399948,47.89599991,45.73400116,46.70100021,569164000,730120
1394,2000-01-01,47.05564117,47.07699966,47.81800079,46.74200058,47.4640007,427502000,730120
1395,2000-01-01,45.49934769,45.52000046,47.0870018,45.06200027,46.50699997,537865000,730120
1396,2000-01-01,44.28889847,44.30899811,45.86600113,44.09999847,45.7879982,963769000,730120
1397,2000-01-01,44.59176254,44.61199951,45.10900116,44.04000092,44.73099899,382516000,730120
1398,2000-01-01,45.6582756,45.67900085,46.18299866,44.92300034,44.94100189,348081000,730120
1399,2000-01-01,45.4313736,45.45199966,46.0530014,44.63000107,46.02099991,364237000,730120
1400,2000-01-01,45.87917709,45.90000153,47.39500046,45.75,46.51900101,455976000,730120
1401,2000-01-01,46.7287941,46.75,47.02700043,46.38100052,46.66799927,331194000,730120
1402,2000-01-01,46.707798,46.72900009,47.13000107,46.50600052,46.75400162,251055000,730120
1403,2023-01-08,46.48589706,46.50699997,46.90000153,46.02700043,46.45999908,237858000,738528
1404,2023-02-08,44.24892044,44.26900101,45.84000015,43.38700104,45.83100128,530142000,738559
1405,2023-03-08,44.49480438,44.51499939,45.11800003,43.79999924,43.79999924,324176000,738587
1406,2023-04-08,44.659729,44.68000031,45.64199829,44.39300156,44.98500061,362666000,738618
1407,2023-07-08,45.39639664,45.41699982,45.54000092,44.56299973,45.11100006,322154000,738709
1408,2023-08-08,44.64374161,44.66400146,45.24200058,44.05599976,44.85300064,353843000,738740
1409,2023-09-08,42.53469467,42.55400085,44.31200027,42.13399887,44.27399826,586449000,738771
1410,2023-10-08,42.3687706,42.38800049,43.57400131,41.83499908,42.15999985,492705000,738801
1411,2023-11-08,40.83646011,40.85499954,42.01800156,40.63899994,41.75099945,533085000,738832
1412,2000-01-01,43.73315048,43.75299835,43.79999924,40.31100082,40.48600006,690286000,730120
1413,2000-01-01,43.92006683,43.93999863,45.26800156,43.70999908,44.56000137,676512000,730120
1414,2000-01-01,43.46627045,43.48600006,44.67499924,43.40599823,44.52000046,527451000,730120
1415,2000-01-01,43.32433319,43.34400177,44.06200027,43.00099945,43.97000122,452395000,730120
1416,2000-01-01,43.2793541,43.29899979,43.57799911,41.65999985,42.63499832,583768000,730120
1417,2000-01-01,46.94569397,46.96699905,47.06499863,44.22200012,44.49399948,692573000,730120
1418,2000-01-01,45.64727783,45.66799927,48.18700027,45.33300018,48.13499832,755293000,730120
1419,2000-01-01,47.09462738,47.11600113,47.20000076,45.20800018,45.86600113,779046000,730120
